artist,genre,year
(Never mind the) Stars,Pop,2011
21 Eyes of Ruby,Rock,2011
A Polaroid View,Pop,2011
Aïrto,Soul,2011
All Missing Pieces,Alternative,2011
Amarins & le gatte negre,Folk,2011
Anatopia,Electro,2011
Ape Not Mice,Pop,2011
Are You A Lion,Indie,2011
Audio Adam,Pop,2011
Baby Jade Brown,Soul,2011
Barbarella,Rock,2011
Bart van der Lee,Singer/songwriter,2011
BBThree,Soul,2011
Bebe Fang,Pop,2011
BlackboxRed,Alternative,2011
Burial Earth,Metal,2011
Burn the Iris,Metal,2011
Capeman,Alternative,2011
De Kraaien,Nederlandstalig,2011
DUF,Blues,2011
Evenwicht,Hip Hop,2011
F.O.O.B.,Funk,2011
Fabian,Singer/songwriter,2011
Far I,Hip Hop,2011
Fata 'el Moustache' Morgana,Alternative,2011
Finn Silver,Singer/songwriter,2011
Flowfabriek,Hip Hop,2011
Flux,Pop,2011
Fruit of the Original Sin,Alternative,2011
GardenFest,Indie,2011
Gavin Mee,Singer/songwriter,2011
Geazah,Dance,2011
Gerhardt,Pop,2011
Goodwin Sands,Indie,2011
Grimm Limbo,Electro,2011
Hansen Tomas,Pop,2011
Hunting The Robot,Indie,2011
I'm not mukowski,Singer/songwriter,2011
IamAisha,R&B,2011
Jelle Buma,Electronica,2011
June Noa,Soul,2011
Kati­a,Singer/songwriter,2011
Kill 'em Mister,Electro,2011
Kill Ferelli,Rock,2011
Let's Go Eskimo,Rock,2011
Logosamphia,Polka,2011
Los Jalapeños,Rock 'n Roll,2011
LUIK,Indie,2011
Maison du Malheur,Pop,2011
Make Up Your Mind,Ska,2011
Marijn,Folk,2011
Mensenkinderen,Indie,2011
Milkbar,Rock,2011
Misery Kids,Rock,2011
Monomania,Rock,2011
Montana,Indie,2011
Mozart Never Did This,Drum & Bass,2011
Mozes and the Firstborn,Garage,2011
My Corduroy Life,Indie,2011
New Pokerface,Punk,2011
No Ninja Am I,Singer/songwriter,2011
OIIO,Folk,2011
Passengers,Indie,2011
Port of Call,Singer/songwriter,2011
Qeaux Qeaux Joans,Singer/songwriter,2011
Rachel Louise,Singer/songwriter,2011
Rät N FrikK,Electronica,2011
Rats On Rafts,Alternative,2011
Riverdistrict,Indie,2011
Roy Santiago,Rock,2011
Rufus Kain,Nederlandstalig,2011
Sideditch,Rock,2011
Sir Yes Sir,Indie,2011
SKIP&DIE,Electronica,2011
Sonur Ber,Dance,2011
Soul Sister Dance Revolution,Alternative,2011
space siren,Alternative,2011
Sparrow Falls,Rock,2011
Spilt Milk,Singer/songwriter,2011
Staatseinde,Electro,2011
Stefany June,Pop,2011
TenTemPiés,Rock,2011
The Bunny Bonanzas,Surf,2011
The Casings,Rock,2011
The Cool Quest,Hip Hop,2011
The Dance,Pop,2011
The Dirty Denims,Hard rock,2011
The Fudge,Rock,2011
the galactic lo-fi orchestra,Pop,2011
The Surs,Alternative,2011
Tim Calis & Reinders,Nederlandstalig,2011
traumahelikopter,Garage,2011
Two Days Left,Metal,2011
Uinko Eerenstein,Pop,2011
We Are FM,Rock,2011
Wixley,Pop,2011
Wooden Saints,Pop,2011
Ze Mannschaft,Alternative,2011
3rd Floor Magic,Funk,2012
Aafke Romeijn,Singer/songwriter,2012
Angela Moyra,Singer/songwriter,2012
Apneu,Garage,2012
APRIL,Indie,2012
Atlantic Attraction,Indie,2012
Benjamin City,Soul,2012
Bernard Gepken,Singer/songwriter,2012
Bird on the Wire,Pop,2012
Birdt,Singer/songwriter,2012
Blind Parade,Pop,2012
Bodypolitics,Indie,2012
Breitner,Indie,2012
Captain Hook,Jazz,2012
Chris Kok and Civil Union,Alternative,2012
Cirque Valentin,Alternative,2012
Convoi Exceptional,Instrumentaal,2012
COPPERSKY,Rock,2012
Dakota,Alternative,2012
Daniel Versteegh,Singer/songwriter,2012
Dirty Bastards,Rock,2012
DizzowDynamiscH,Hip Hop,2012
Dotan,Singer/songwriter,2012
Double G & The Ouzo Family,Hip Hop,2012
Downbeat Maestros,Roots,2012
Duncan Idaho,Alternative,2012
dyzack,Folk,2012
Elise Dinfena,Soul,2012
Eva Auad,Pop,2012
Fellow,Electronica,2012
Fodiator,Pop,2012
Hamertje Tik,Electronica,2012
Indian Askin,Rock,2012
J.C. Thomaz and the Missing Slippers,Rock 'n Roll,2012
John Coffey,Rock,2012
Kaizoku,Electronica,2012
Kayser Karel,Stonerrock,2012
Kid Totem,Pop,2012
Kids With Guns,Indie,2012
Komatsu,Stonerrock,2012
La Corneille,Indie,2012
Leeways,Reggae,2012
Lesoir,Rock,2012
Let's Go Eskimo,Punk,2012
Loud Squirt,Garage,2012
Lucas Hamming,Singer/songwriter,2012
MADI,Pop,2012
Major Tom,Alternative,2012
Makkie & KrankJoram,Hip Hop,2012
mezlev,Singer/songwriter,2012
Mineral Beings,Indie,2012
Mister and Mississippi,Alternative,2012
Moodswing,Rock,2012
Nadie Reyhani,Pop,2012
Nouveau Vélo,Indie,2012
NY Fan,Electro,2012
"Oh, Brave Wide Eyes",Folk,2012
OneManWolfPack,Electro,2012
Orlando,Pop,2012
Otis,Stonerrock,2012
Palio SuperSpeed Donkey,Rock,2012
PLeaSe!,Funk,2012
Purest of Pain,Metal,2012
Rebecca Sier,Singer/songwriter,2012
Richie dagger,Punk,2012
S As In Assassins,Indie,2012
Sam A La Bamalot,Electronica,2012
Sandy Dane,Pop,2012
Sanguita,Soul,2012
Screw Houston Start Screaming!,Punk,2012
Senor Sandor,Indie,2012
Sidewalk,Pop,2012
Sue the Night,Singer/songwriter,2012
Super909,Pop,2012
Supra Naturals,Rock,2012
Sur Nilsson,Indie,2012
The AppleJacks,Rock 'n Roll,2012
The Brave,Rock,2012
The Cool Quest,Hip Hop,2012
The Crowns,Rock,2012
The Happy Notes Society,Jazz,2012
The Jacks,Rock,2012
The Pignose Willy's,Rock 'n Roll,2012
THE RED17,Pop,2012
The Spinshots,Jazz,2012
The T.S. Eliot Appreciation Society,Folk,2012
The Vagary,Indie,2012
Those Foreign Kids,Indie,2012
Tuur Moens & Syndicate,Global Sounds,2012
Über-Ich,Alternative,2012
Vine-Yard,Rock,2012
Wannabeastar,Alternative,2012
